,,12 months to Q2 2011,,,,,12 months to Q3 2011,,,,,12 months to Q4 2011 ,,,,,12 months to Q1 2012,,,,,12 months to Q2 2012,,,,,12 months to Q3 2012,,,,,12 months to Q4 2012,,,,,12 months to Q1 2013,,,,,12 months to Q3 2013,,,,,12 months to Q1 2014,,,,,12 months to Q3 2014,,,,,12 months to Q1 2015,,,,,12 months to Q3 2015,,,,,12 months to Q1 2016,,,,,12 months to Q3 2016,,,,,12 months to Q1 2017,,,,,12 months to Q3 2017,,,,,12 months to Q1 2018,,,,,12 months to Q3 2018,,,,,12 months to Q1 2019,,,,
Area Code,Area,Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£)
E09000001,City of London,109,"1,713","1,365","1,647","1,950",106,"1,720","1,365","1,690","1,972",89,"1,641","1,343","1,517","1,950",116,"1,830","1,430","1,712","2,041",105,"1,810","1,430","1,712","2,058",117,"1,960","1,473","1,733","2,145",148,"1,941","1,560","1,733","2,123",165,"1,848","1,430","1,668","2,058",183,"1,767","1,473","1,647","1,950",167,"1,958","1,582","1,798","2,145",159,"1,971","1,517","1,863","2,232",143,"2,194","1,560","1,928","2,574",113,"2,400","1,681","2,102","2,509",90,"2,249","1,647","2,102","2,383",110,"2,213","1,625","2,145","2,492",110,"2,163","1,647","2,058","2,383",60,"2,102","1,712","1,950","2,383",40,"2,066","1,560","1,925","2,438",70,"2,189","1,712","2,117","2,383",100,"2,377","1,744","2,210","2,600"
E09000002,Barking and Dagenham,894,792,675,800,950,767,800,675,802,950,778,818,695,850,950,764,835,700,850,950,755,851,700,850,"1,000",646,866,725,850,"1,000",671,892,750,875,"1,001",693,902,750,900,"1,050",704,921,750,901,"1,075",537,864,700,822,"1,025",457,895,725,850,"1,050",681,965,780,950,"1,150",691,"1,006",800,"1,000","1,200",670,"1,099",897,"1,100","1,300",810,"1,132",900,"1,150","1,300",970,"1,171","1,000","1,200","1,350",910,"1,187","1,000","1,200","1,350",780,"1,184","1,000","1,200","1,350",740,"1,193","1,018","1,200","1,350",810,"1,192","1,000","1,200","1,350"
E09000003,Barnet,"4,054","1,202",650,"1,000","1,407","3,798","1,258",737,"1,062","1,450","3,606","1,325",780,"1,083","1,500","3,501","1,358",862,"1,148","1,517","3,024","1,382",901,"1,170","1,517","2,077","1,390",895,"1,170","1,517","2,076","1,401",926,"1,193","1,517","1,787","1,462",953,"1,200","1,517","1,737","1,460",970,"1,213","1,603","1,519","1,397",975,"1,250","1,603","2,319","1,461","1,001","1,278","1,600","2,673","1,476","1,040","1,300","1,600","2,795","1,550","1,105","1,350","1,699","2,850","1,669","1,127","1,387","1,759","2,680","1,693","1,150","1,400","1,800","2,820","1,588","1,170","1,395","1,700","2,360","1,507","1,148","1,350","1,650","2,100","1,508","1,158","1,350","1,690","2,380","1,535","1,200","1,376","1,700","2,810","1,548","1,175","1,365","1,700"
E09000004,Bexley,"1,042",795,650,775,950,910,807,650,800,950,991,839,675,800,995,872,845,675,800,995,759,857,695,800,"1,000",713,872,700,825,"1,000",717,853,650,825,"1,000",667,861,650,825,"1,000",738,880,700,850,"1,025",679,889,725,850,"1,050",718,902,700,850,"1,100",841,936,725,900,"1,100",793,985,795,950,"1,150",950,"1,036",825,"1,000","1,250",950,"1,057",850,"1,000","1,250",860,"1,086",900,"1,095","1,250",880,"1,082",900,"1,062","1,250",770,"1,044",850,"1,023","1,200",690,"1,026",850,"1,000","1,225",820,"1,084",875,"1,100","1,275"
E09000005,Brent,"1,989","1,218",750,"1,105","1,500","1,779","1,242",750,"1,148","1,517","1,793","1,287",802,"1,200","1,560","1,774","1,305",823,"1,200","1,550","1,740","1,321",850,"1,200","1,517","1,525","1,372",875,"1,250","1,560","1,448","1,364",900,"1,250","1,550","1,326","1,374",950,"1,278","1,560","1,035","1,276",910,"1,250","1,517",973,"1,304",950,"1,250","1,550","1,633","1,448","1,050","1,365","1,650","1,975","1,450","1,100","1,350","1,650","2,369","1,497","1,127","1,400","1,700","2,690","1,584","1,200","1,473","1,800","2,540","1,608","1,250","1,510","1,820","2,450","1,592","1,250","1,499","1,798","1,780","1,557","1,200","1,450","1,750","2,020","1,571","1,235","1,480","1,800","2,260","1,582","1,250","1,495","1,800","2,010","1,578","1,250","1,500","1,800"
E09000006,Bromley,"1,677",983,750,875,"1,100","1,969","1,021",775,916,"1,125","1,717","1,015",775,916,"1,150","1,885","1,038",775,950,"1,175","1,759","1,041",781,950,"1,175","1,573","1,045",781,950,"1,200","1,741","1,028",775,940,"1,175","1,614","1,026",775,950,"1,175","1,466","1,027",775,950,"1,200","1,193","1,094",825,"1,000","1,250","1,325","1,160",850,"1,050","1,300","1,570","1,180",895,"1,100","1,348","1,123","1,199",925,"1,150","1,350","1,340","1,241",950,"1,195","1,400","1,620","1,231",956,"1,195","1,400","1,710","1,243",979,"1,200","1,400","1,460","1,234",965,"1,150","1,400","1,520","1,226",965,"1,150","1,380","1,710","1,250",975,"1,200","1,400","2,270","1,318","1,000","1,225","1,495"
E09000007,Camden,"3,457","1,757","1,083","1,517","2,080","3,739","1,821","1,170","1,582","2,123","3,487","1,937","1,235","1,668","2,253","3,385","1,867","1,257","1,668","2,210","3,299","1,894","1,278","1,690","2,253","3,005","1,903","1,278","1,711","2,275","2,753","1,917","1,278","1,690","2,275","2,976","2,038","1,365","1,733","2,340","2,564","1,987","1,343","1,733","2,340","1,495","1,867","1,300","1,625","2,080","2,269","2,046","1,365","1,729","2,275","2,701","2,225","1,473","1,842","2,500","2,391","2,373","1,538","1,950","2,752","3,470","2,285","1,517","1,950","2,640","3,610","2,223","1,517","1,885","2,578","2,380","2,138","1,469","1,842","2,427","1,890","2,066","1,426","1,820","2,383","1,660","1,961","1,350","1,733","2,297","2,990","2,117","1,495","1,842","2,392","4,160","2,427","1,625","2,000","2,665"
E09000008,Croydon,"1,262",843,675,825,950,"1,684",859,675,850,"1,000","1,780",864,675,850,"1,000","1,634",870,675,850,"1,049","1,349",873,650,850,"1,100","1,350",884,675,880,"1,100","1,445",895,700,900,"1,100","1,432",898,700,900,"1,100","1,015",926,700,890,"1,100","1,243",916,700,875,"1,100","1,801",974,775,950,"1,150","2,013","1,056",830,"1,000","1,200","1,613","1,075",850,"1,025","1,250","1,100","1,102",860,"1,075","1,250","1,540","1,107",875,"1,100","1,300","1,350","1,104",875,"1,100","1,295","1,300","1,127",900,"1,100","1,300","2,010","1,144",900,"1,100","1,300","1,560","1,133",900,"1,100","1,275","1,850","1,112",900,"1,100","1,250"
E09000009,Ealing,"2,355","1,093",750,"1,000","1,300","1,909","1,123",750,"1,000","1,300","2,477","1,157",775,"1,062","1,365","2,610","1,160",758,"1,096","1,400","3,028","1,168",796,"1,100","1,388","3,071","1,178",800,"1,100","1,400","2,456","1,191",825,"1,148","1,400","2,606","1,229",875,"1,150","1,400","2,109","1,369",997,"1,250","1,582","1,813","1,440","1,050","1,300","1,690","1,617","1,338",950,"1,250","1,550","1,712","1,383","1,001","1,300","1,600","2,369","1,426","1,049","1,322","1,625","2,310","1,458","1,025","1,350","1,700","2,140","1,511","1,100","1,395","1,729","2,650","1,519","1,150","1,400","1,720","2,630","1,519","1,200","1,400","1,699","2,820","1,514","1,175","1,400","1,699","2,840","1,532","1,175","1,400","1,700","2,020","1,484","1,195","1,375","1,650"
